term,label,coef_real,p_real,coef_synth,p_synth,category,S,M,D,scenario,generator,synthetic_realisation,synthetic_dir
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.4364572859909446,0.1787644068503309,strong,1,0,0,baseline_0pct,ctgan,3,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_125\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-0.03655170210536596,0.9204256726343364,strong,1,0,0,baseline_0pct,ctgan,3,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_125\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.612112534344029,3.137201591238993e-06,strong,1,0,1,baseline_0pct,gaussian_copula,3,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_125\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.08779550913811907,0.8129389442745737,strong,0,0,0,baseline_0pct,gaussian_copula,3,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_125\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.4195569126226069,0.0011231102228951046,strong,1,0,1,baseline_0pct,tabddpm,3,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_125\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-0.9166459666081304,0.017044106946231295,strong,1,0,1,baseline_0pct,tabddpm,3,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_125\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.6359271073394104,1.1328553034265868e-07,strong,1,0,1,baseline_0pct,tvae,3,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_125\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-0.6107732065193439,0.05397597677698958,strong,1,0,0,baseline_0pct,tvae,3,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_125\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.09380868045432145,0.786270312004376,strong,1,0,0,baseline_0pct,ctgan,4,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_126\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,1.0298768321686973,0.01123456691310842,strong,0,0,1,baseline_0pct,ctgan,4,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_126\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.612112534344029,3.137201591238993e-06,strong,1,0,1,baseline_0pct,gaussian_copula,4,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_126\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.08779550913811907,0.8129389442745737,strong,0,0,0,baseline_0pct,gaussian_copula,4,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_126\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.0243584867531723,0.06439000353327447,strong,1,0,0,baseline_0pct,tabddpm,4,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_126\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-0.19431835460294788,0.6881852387657149,strong,1,0,0,baseline_0pct,tabddpm,4,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_126\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.3646800042403146,0.471247642940269,strong,1,0,0,baseline_0pct,tvae,4,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_126\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-1.2672103865136481,0.014404843841342824,strong,1,0,1,baseline_0pct,tvae,4,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_126\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.22253747743136798,0.5393606287245584,strong,1,0,0,baseline_0pct,ctgan,5,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_127\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-0.16433703263011257,0.6903844280153588,strong,1,0,0,baseline_0pct,ctgan,5,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_127\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.612112534344029,3.137201591238993e-06,strong,1,0,1,baseline_0pct,gaussian_copula,5,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_127\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.08779550913811907,0.8129389442745737,strong,0,0,0,baseline_0pct,gaussian_copula,5,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_127\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.1384424416128063,0.14075193212076456,strong,1,0,0,baseline_0pct,tabddpm,5,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_127\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-0.23702125335737678,0.5966775595614511,strong,1,0,0,baseline_0pct,tabddpm,5,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_127\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.1953416805990427,3.996333032560793e-06,strong,1,0,1,baseline_0pct,tvae,5,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_127\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-0.20899624936955474,0.439928608099003,strong,1,0,0,baseline_0pct,tvae,5,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_127\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.7167275348207225,0.03272042221130754,strong,1,0,1,baseline_0pct,ctgan,6,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_128\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.6144236170919113,0.10326055441865441,strong,0,0,0,baseline_0pct,ctgan,6,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_128\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.612112534344029,3.137201591238993e-06,strong,1,0,1,baseline_0pct,gaussian_copula,6,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_128\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.08779550913811907,0.8129389442745737,strong,0,0,0,baseline_0pct,gaussian_copula,6,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_128\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.7155059982793697,0.00027280544282081055,strong,1,0,1,baseline_0pct,tabddpm,6,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_128\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.06971345788354055,0.8597115870498595,strong,0,0,0,baseline_0pct,tabddpm,6,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_128\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.226091895256436,6.419389581855651e-05,strong,1,0,1,baseline_0pct,tvae,6,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_128\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-1.1837103421703061,4.740992664970502e-05,strong,1,0,1,baseline_0pct,tvae,6,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_128\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.15268675104472607,0.6557665883606199,strong,1,0,0,baseline_0pct,ctgan,7,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_129\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.9823059468046125,0.01597895058518793,strong,0,0,1,baseline_0pct,ctgan,7,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_129\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.612112534344029,3.137201591238993e-06,strong,1,0,1,baseline_0pct,gaussian_copula,7,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_129\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.08779550913811907,0.8129389442745737,strong,0,0,0,baseline_0pct,gaussian_copula,7,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_129\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-2.009458747916003,5.005906527091791e-05,strong,1,1,1,baseline_0pct,tabddpm,7,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_129\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-0.0910309836403762,0.8263638935392474,strong,1,0,0,baseline_0pct,tabddpm,7,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_129\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.5603643351064309,0.1961671883715022,strong,1,0,0,baseline_0pct,tvae,7,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_129\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-0.9470331823904639,0.013385699551373283,strong,1,0,1,baseline_0pct,tvae,7,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_129\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.47557333274285885,0.15662592530996375,strong,1,0,0,baseline_0pct,ctgan,8,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_130\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.037332135807784717,0.921390707907068,strong,0,0,0,baseline_0pct,ctgan,8,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_130\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.612112534344029,3.137201591238993e-06,strong,1,0,1,baseline_0pct,gaussian_copula,8,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_130\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.08779550913811907,0.8129389442745737,strong,0,0,0,baseline_0pct,gaussian_copula,8,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_130\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.3939254241641144,0.03210669048861716,strong,1,0,1,baseline_0pct,tabddpm,8,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_130\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.3141056034438874,0.5847379505631033,strong,0,0,0,baseline_0pct,tabddpm,8,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_130\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.09055146229540956,0.8134467487063947,strong,1,0,0,baseline_0pct,tvae,8,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_130\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,1.1053644996423064,0.04976880693604816,strong,0,0,1,baseline_0pct,tvae,8,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_130\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.3011880614394049,0.3886755784224319,strong,1,0,0,baseline_0pct,ctgan,9,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_131\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.1769910820212428,0.6572943184297856,strong,0,0,0,baseline_0pct,ctgan,9,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_131\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.612112534344029,3.137201591238993e-06,strong,1,0,1,baseline_0pct,gaussian_copula,9,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_131\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.08779550913811907,0.8129389442745737,strong,0,0,0,baseline_0pct,gaussian_copula,9,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_131\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,0.3093914758045839,0.7501403061732481,strong,0,0,0,baseline_0pct,tabddpm,9,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_131\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.36537325850973446,0.6620613380557654,strong,0,0,0,baseline_0pct,tabddpm,9,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_131\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.5337597624373656,6.157408267380022e-06,strong,1,0,1,baseline_0pct,tvae,9,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_131\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-0.7763253036115216,0.021713580666902668,strong,1,0,1,baseline_0pct,tvae,9,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_131\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.16638146899015593,0.6232376103541001,strong,1,0,0,baseline_0pct,ctgan,10,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_132\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.47255934816528455,0.265705787346625,strong,0,0,0,baseline_0pct,ctgan,10,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_132\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.612112534344029,3.137201591238993e-06,strong,1,0,1,baseline_0pct,gaussian_copula,10,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_132\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.08779550913811907,0.8129389442745737,strong,0,0,0,baseline_0pct,gaussian_copula,10,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_132\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.9082298787267487,0.09437165542798155,strong,1,0,0,baseline_0pct,tabddpm,10,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_132\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.43514703396346377,0.39961018527292824,strong,0,0,0,baseline_0pct,tabddpm,10,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_132\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.0850069770460795,0.004064177033431805,strong,1,0,1,baseline_0pct,tvae,10,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_132\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-2.3363458821187173,2.8431120073524227e-10,strong,1,0,1,baseline_0pct,tvae,10,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_132\synthetic_datasets
