term,label,coef_real,p_real,coef_synth,p_synth,category,S,M,D,scenario,generator,synthetic_realisation,synthetic_dir
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.22632172911414328,0.6901982249567703,strong,1,0,0,sensitivity_1pct,tabddpm,2,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_124\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.3550408228354387,0.4671911347326488,strong,0,0,0,sensitivity_1pct,tabddpm,2,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_124\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.6441772158917598,4.202066039487073e-08,strong,1,0,1,sensitivity_1pct,tvae,2,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_124\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-0.49518889568038205,0.06734489276497461,strong,1,0,0,sensitivity_1pct,tvae,2,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_124\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.4355015939645446,0.22157244234741216,strong,1,0,0,sensitivity_1pct,ctgan,3,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_125\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.636179843903471,0.16465811423480842,strong,0,0,0,sensitivity_1pct,ctgan,3,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_125\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.6135973862691249,2.9727826698160708e-06,strong,1,0,1,sensitivity_1pct,gaussian_copula,3,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_125\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.06939491634003847,0.8513794043089723,strong,0,0,0,sensitivity_1pct,gaussian_copula,3,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_125\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.138680238659802,0.06336423962106603,strong,1,0,0,sensitivity_1pct,tabddpm,3,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_125\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-0.30919061049214225,0.6229855337212244,strong,1,0,0,sensitivity_1pct,tabddpm,3,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_125\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.8903768262666594,0.021925881237212654,strong,1,0,1,sensitivity_1pct,tvae,3,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_125\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-0.3938119283613508,0.26551914125238657,strong,1,0,0,sensitivity_1pct,tvae,3,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_125\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.21539720134591533,0.5537788276029878,strong,1,0,0,sensitivity_1pct,ctgan,4,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_126\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-0.29505843576840096,0.5167042358721146,strong,1,0,0,sensitivity_1pct,ctgan,4,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_126\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.606220376689145,3.662000395867573e-06,strong,1,0,1,sensitivity_1pct,gaussian_copula,4,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_126\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.07786947058569993,0.8343774841508514,strong,0,0,0,sensitivity_1pct,gaussian_copula,4,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_126\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.8691341673464446,0.020775064463313352,strong,1,1,1,sensitivity_1pct,tabddpm,4,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_126\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.5323644608310945,0.34445261856181403,strong,0,0,0,sensitivity_1pct,tabddpm,4,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_126\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-2.1413054175170987,5.485658268917515e-11,strong,1,0,1,sensitivity_1pct,tvae,4,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_126\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-1.2415884246618218,1.442843867434934e-05,strong,1,0,1,sensitivity_1pct,tvae,4,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_126\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.13921181055903853,0.6977957188660969,strong,1,0,0,sensitivity_1pct,ctgan,5,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_127\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.3270290749862885,0.4273312010297319,strong,0,0,0,sensitivity_1pct,ctgan,5,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_127\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.6015009504647333,3.4891865123727633e-06,strong,1,0,1,sensitivity_1pct,gaussian_copula,5,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_127\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.08406667105456744,0.8204829708913511,strong,0,0,0,sensitivity_1pct,gaussian_copula,5,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_127\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.8628319006267162,0.07358494908767434,strong,1,1,0,sensitivity_1pct,tabddpm,5,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_127\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.3330600719918466,0.5988051718979812,strong,0,0,0,sensitivity_1pct,tabddpm,5,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_127\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.9639011419061436,0.023140557343030117,strong,1,0,1,sensitivity_1pct,tvae,5,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_127\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-0.8861031254750875,0.001502139722886535,strong,1,0,1,sensitivity_1pct,tvae,5,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_127\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.24139922437141603,0.5049017184503856,strong,1,0,0,sensitivity_1pct,ctgan,6,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_128\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.46890913991719474,0.2686150434309687,strong,0,0,0,sensitivity_1pct,ctgan,6,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_128\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.5857728844386618,4.9110441642899e-06,strong,1,0,1,sensitivity_1pct,gaussian_copula,6,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_128\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.06926035550391862,0.8526967211861467,strong,0,0,0,sensitivity_1pct,gaussian_copula,6,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_128\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,0.5524304457960427,0.4352844639107483,strong,0,0,0,sensitivity_1pct,tabddpm,6,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_128\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.33972711160296337,0.492886056061698,strong,0,0,0,sensitivity_1pct,tabddpm,6,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_128\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.5490232201562693,1.8165850178505283e-05,strong,1,0,1,sensitivity_1pct,tvae,6,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_128\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-1.0553850643901694,0.006021087046807933,strong,1,0,1,sensitivity_1pct,tvae,6,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_128\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.19684592755357277,0.5542674913991699,strong,1,0,0,sensitivity_1pct,ctgan,7,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_129\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.47485306825322615,0.22269479620238727,strong,0,0,0,sensitivity_1pct,ctgan,7,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_129\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.6184148062449144,2.6506904526412344e-06,strong,1,0,1,sensitivity_1pct,gaussian_copula,7,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_129\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.08086630001181305,0.8267548451127124,strong,0,0,0,sensitivity_1pct,gaussian_copula,7,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_129\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,0.137263129830707,0.8516002965903272,strong,0,0,0,sensitivity_1pct,tabddpm,7,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_129\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-0.34935537983220055,0.517534539669582,strong,1,0,0,sensitivity_1pct,tabddpm,7,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_129\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.6024970975600197,0.0015948719492565125,strong,1,0,1,sensitivity_1pct,tvae,7,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_129\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-0.08790764649054328,0.8456988462331743,strong,1,0,0,sensitivity_1pct,tvae,7,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_129\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.5926333310038827,0.06959224235992711,strong,1,0,0,sensitivity_1pct,ctgan,8,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_130\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.6462953746284007,0.11685827022572759,strong,0,0,0,sensitivity_1pct,ctgan,8,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_130\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.6090460659186698,3.1377579429913428e-06,strong,1,0,1,sensitivity_1pct,gaussian_copula,8,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_130\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.0867964083827264,0.8146839618105927,strong,0,0,0,sensitivity_1pct,gaussian_copula,8,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_130\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.827125098122167,0.20197835489686167,strong,1,0,0,sensitivity_1pct,tabddpm,8,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_130\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.06481473626271658,0.9027077663501927,strong,0,0,0,sensitivity_1pct,tabddpm,8,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_130\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.7101896450431622,5.7723878059326694e-05,strong,1,0,1,sensitivity_1pct,tvae,8,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_130\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.08747247034267569,0.8322315696118626,strong,0,0,0,sensitivity_1pct,tvae,8,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_130\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.4297730334995342,0.22161416603115044,strong,1,0,0,sensitivity_1pct,ctgan,9,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_131\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.15132326771401416,0.7287142977132507,strong,0,0,0,sensitivity_1pct,ctgan,9,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_131\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.6204535742357924,2.377183711626694e-06,strong,1,0,1,sensitivity_1pct,gaussian_copula,9,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_131\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.065430924920582,0.8588933965048676,strong,0,0,0,sensitivity_1pct,gaussian_copula,9,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_131\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.28712791453977626,0.7078023415814872,strong,1,0,0,sensitivity_1pct,tabddpm,9,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_131\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-0.01962555162704227,0.9777276599038025,strong,1,0,0,sensitivity_1pct,tabddpm,9,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_131\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.9986511344506988,0.005442031553728141,strong,1,0,1,sensitivity_1pct,tvae,9,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_131\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-0.12733227963381033,0.7233274960752902,strong,1,0,0,sensitivity_1pct,tvae,9,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_131\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.5709763161894039,0.11248726953828467,strong,1,0,0,sensitivity_1pct,ctgan,10,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_132\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.5158653274387692,0.20031145131526693,strong,0,0,0,sensitivity_1pct,ctgan,10,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_132\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.6103889767158586,2.9072160590280984e-06,strong,1,0,1,sensitivity_1pct,gaussian_copula,10,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_132\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.08653010614739465,0.8147306565624844,strong,0,0,0,sensitivity_1pct,gaussian_copula,10,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_132\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.4239896511859107,0.00024276170657568124,strong,1,0,1,sensitivity_1pct,tabddpm,10,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_132\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-0.07713578435657364,0.8397269450035859,strong,1,0,0,sensitivity_1pct,tabddpm,10,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_132\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.354577055904099,2.0697158152032477e-05,strong,1,0,1,sensitivity_1pct,tvae,10,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_132\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-0.17132308319875778,0.5710134336970114,strong,1,0,0,sensitivity_1pct,tvae,10,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_132\synthetic_datasets
