seawater_vv,urea_pv,ammonium_sulfate_pv,kh2po4_pv,surface_tension_mNm
0.0,0.5,0.2,0.5,43.76
100.0,0.25,0.2,0.5,47.58
50.0,0.5,0.6,0.5,47.61
0.0,0.0,0.6,0.5,47.58
0.0,0.5,0.6,1.5,42.35
0.0,0.0,0.2,1.5,46.47
100.0,0.5,0.4,0.5,45.05
0.0,0.5,0.6,1.5,47.75
100.0,0.0,0.2,1.0,53.3
0.0,0.0,0.2,1.5,47.54
100.0,0.0,0.2,1.0,49.44
0.0,0.25,0.2,0.5,53.57
0.0,0.5,0.4,1.0,44.26
100.0,0.25,0.4,0.5,44.26
0.0,0.5,0.6,0.5,48.44
0.0,0.25,0.6,1.0,53.57
50.0,0.0,0.2,1.0,48.44
100.0,0.0,0.2,0.5,50.58
0.0,0.5,0.6,1.0,53.57
100.0,0.0,0.4,1.5,47.75
100.0,0.0,0.4,1.5,48.44
100.0,0.0,0.6,1.5,47.54
0.0,0.25,0.6,0.5,49.44
50.0,0.0,0.2,0.5,49.21
100.0,0.0,0.6,1.5,42.35
50.0,0.0,0.4,1.5,50.58
50.0,0.25,0.4,0.5,45.05
100.0,0.0,0.2,1.0,47.75
0.0,0.0,0.2,0.5,46.47
0.0,0.25,0.6,0.5,50.58
50.0,0.0,0.4,1.0,47.54
100.0,0.25,0.6,1.5,45.05
